,Código da IES,Nome da IES*,Sigla da IES*,Município do Curso**,Sigla da UF** ,Conceito Enade (Contínuo),Conceito Enade (Faixa)
3446,25352.0,Universidade Federal de Rondonópolis,UFR,Rondonópolis,MT,2.424,3
3447,1.0,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Cuiabá,MT,2.717,3
3448,2.0,UNIVERSIDADE DE BRASÍLIA,UNB,Brasília,DF,4.31,5
3449,2.0,UNIVERSIDADE DE BRASÍLIA,UNB,Brasília,DF,4.712,5
3450,2.0,UNIVERSIDADE DE BRASÍLIA,UNB,Brasília,DF,4.112,5
3451,3.0,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,São Cristóvão,SE,2.717,3
3452,3.0,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,São Cristóvão,SE,1.201,2
3453,4.0,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Manaus,AM,3.242,4
3454,5.0,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,Teresina,PI,3.337,4
3455,5.0,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,Picos,PI,2.468,3
3457,5.0,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,Teresina,PI,0.885,1
3458,6.0,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,Mariana,MG,3.604,4
3459,6.0,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,Mariana,MG,2.213,3
3460,8.0,UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Viçosa,MG,3.709,4
3461,8.0,UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Viçosa,MG,3.44,4
3462,9.0,UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,Londrina,PR,3.585,4
3463,10.0,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PUCPR,Curitiba,PR,3.806,4
3464,11.0,UNIVERSIDADE CATÓLICA DE PERNAMBUCO,UNICAP,Recife,PE,2.644,3
3465,12.0,UNIVERSIDADE FEDERAL DO RIO GRANDE,FURG,Rio Grande,RS,2.927,3
3466,12.0,UNIVERSIDADE FEDERAL DO RIO GRANDE,FURG,Rio Grande,RS,1.653,2
3467,13.0,UNIVERSIDADE DE CAXIAS DO SUL,UCS,Caxias do Sul,RS,2.949,4
3468,14.0,UNIVERSIDADE DO VALE DO RIO DOS SINOS,UNISINOS,São Leopoldo,RS,3.433,4
3469,15.0,UNIVERSIDADE CATÓLICA DE PETRÓPOLIS,UCP,Petrópolis,RJ,3.246,4
3470,15.0,UNIVERSIDADE CATÓLICA DE PETRÓPOLIS,UCP,Petrópolis,RJ,3.408,4
3471,17.0,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,Uberlândia,MG,2.463,3
3472,17.0,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,Ituiutaba,MG,3.431,4
3473,17.0,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,Ituiutaba,MG,2.111,3
3474,17.0,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,Uberlândia,MG,3.239,4
3475,19.0,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS,PUC-CAMPINAS,Campinas,SP,3.468,4
3476,19.0,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS,PUC-CAMPINAS,Campinas,SP,2.991,4
3477,20.0,UNIVERSIDADE DE PASSO FUNDO,UPF,Passo Fundo,RS,3.117,4
